profile,flat_independence,myopic_milp,laminar_greedy,laminar_rollout,root_count
233,15.507384659012384,8.107643367522776,8.321512265863708,8.321512265863708,1
234,5.603599098925774,7.399741291489608,4.521284419065052,4.521284419065052,2
235,7.116850663196368,7.848363877214912,0.0,0.0,1
236,13.73529812623234,7.848363877214912,8.321512265863708,8.321512265863708,1
237,15.507384659012384,8.107643367522776,0.0,0.0,1
238,13.73529812623234,14.94115888062749,21.79961404445766,21.79961404445766,0
239,22.59644924457706,22.62423532220875,13.478101778593953,13.478101778593953,0
240,22.59644924457706,14.94115888062749,13.478101778593953,13.478101778593953,0
241,13.322162204329889,0.0,4.521284419065052,4.521284419065052,1
242,13.73529812623234,14.879326570288388,0.0,0.0,1
243,7.45033040545804,6.2676766711902445,4.521284419065052,4.521284419065052,2
244,0.0,8.107643367522776,8.321512265863708,8.321512265863708,1
245,13.73529812623234,14.94115888062749,13.478101778593953,13.478101778593953,0
246,13.322162204329889,16.639893801110162,13.478101778593953,13.478101778593953,0
247,7.116850663196368,8.956817359528898,13.478101778593953,13.478101778593953,0
248,13.73529812623234,7.848363877214912,4.521284419065052,4.521284419065052,1
249,0.0,6.2676766711902445,4.521284419065052,4.521284419065052,2
